LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
202,140,108,16,25,15,37,198,10,55,20,0.07,1.5,97,1.31,57432.3,27,7,6,20,0,161.1,42,133,0,1,121.22,0,0.0,0.08,0,202,5,3933.97,0,7,0,0,0,0,30,0,0,13,3,22,778,2,True
649,359,289,20,44,147,246,1513,10,56,40,0.06,1.65,299,3.11,78509.9,44,4,2,40,0,63.43,383,356,0,1,113.43,0,0.0,0.31,6,0,6,9342.96,0,0,0,0,0,0,66,0,0,40,0,185,1926,1,True
90,46,36,4,9,6,35,154,10,55,5,0.06,1.8,41,0.36,9701.01,9,4,1,5,1,79.06,31,44,1,1,111.29,0,0.0,0.3,0,14,5,1075.28,0,0,0,0,0,0,9,0,0,5,0,12,244,1,False
47,20,17,0,4,5,23,89,10,55,2,1.33,1.0,16,0.14,1931.76,5,3,0,2,0,63.81,18,19,0,1,113.81,0,0.0,1.0,0,2,1,413.21,0,0,0,0,0,0,2,0,0,2,1,8,101,1,False
64,31,28,0,4,10,29,122,10,55,2,1.71,1.0,27,0.26,5055.69,9,7,0,2,1,82.51,29,30,1,1,102.65,2,0.0,1.0,0,2,1,781.04,0,0,0,0,0,0,2,2,0,2,0,13,179,1,False
25,4,3,0,2,0,19,91,10,55,1,0.0,1.0,2,0.01,41.48,1,0,0,1,0,97.03,9,3,0,1,147.03,0,0.0,0.0,0,1,1,27.65,0,0,0,0,0,0,1,0,0,1,0,2,11,1,False
194,94,76,3,21,20,79,373,10,55,14,0.06,1.21,79,0.79,28227.8,26,12,2,14,0,86.64,89,91,0,1,118.86,0,0.0,0.14,0,26,4,2378.13,0,0,0,0,0,0,17,0,0,14,1,34,478,1,False
49,25,18,2,3,12,21,95,10,54,2,0.0,2.0,15,0.24,5123.58,2,0,0,2,0,68.35,23,24,0,1,112.48,0,0.5,0.0,0,2,3,733.52,0,0,0,0,0,1,4,0,0,2,0,13,152,1,True
52,29,22,2,4,12,19,89,10,54,2,1.0,2.0,19,0.27,5946.99,4,2,0,2,0,59.42,21,28,0,1,107.89,0,0.5,1.0,0,2,3,821.09,0,0,0,0,0,1,4,0,0,2,0,13,171,1,True
423,342,272,49,52,59,29,281,10,55,24,0.09,3.12,295,5.04,224695.0,43,19,8,24,0,119.82,78,333,0,1,99.21,0,0.5,0.14,17,204,8,15130.5,2,5,0,0,0,1,75,0,0,19,0,71,2763,1,True
71,49,40,1,10,5,12,78,10,55,5,0.25,1.8,36,0.49,12577.9,9,4,4,6,0,162.56,7,44,0,1,112.56,0,0.5,0.45,1,6,4,1466.93,1,0,0,0,1,1,9,0,1,5,0,7,298,1,True
123,85,59,15,20,0,18,142,10,55,9,0.0,1.11,28,0.3,3745.09,10,1,4,10,0,132.55,5,36,0,1,132.55,0,0.0,1.0,0,0,2,913.28,0,3,0,0,1,0,10,0,1,6,0,5,233,1,True
