LOC,SLOC_P,SLOC_L,MVG,BLOC,C_SLOC,CLOC,CWORD,HCLOC,HCWORD,No_Methods,LCOM,AVCC,NOS,HBUG,HEFF,UWCS,INST,PACK,RFC,CBO,MI,CCML,NLOC,F_IN,DIT,MINC,S_R,R_R,COH,LMC,LCOM2,MAXCC,HVOL,HIER,NQU,FOUT,SIX,EXT,NSUP,TCC,NSUB,MPC,NCO,INTR,CCOM,HLTH,MOD,bug_cnt
79,38,28,11,7,3,34,184,10,56,4,0.0,2.5,22,0.3,13296.8,4,0,4,4,0,84.76,27,33,0,1,116.98,0,0.0,0.0,2,4,6,886.37,0,2,0,0.0,0,0,10,0,0,2,2,11,186,2,False
930,545,416,104,84,34,301,1592,10,56,38,0.05,3.11,437,6.92,401792.0,49,11,11,38,0,52.1,325,505,0,1,100.2,0,0.5,0.04,26,422,14,20765.7,1,14,0,0.0,0,1,118,0,0,24,1,117,3726,2,True
44,12,10,1,6,0,26,113,10,56,2,0.0,1.0,8,0.07,1572.77,2,0,1,2,0,77.63,16,10,0,1,125.74,0,0.0,0.0,0,2,1,206.28,0,1,0,0.0,0,0,2,0,0,1,1,3,54,2,False
592,288,230,16,39,118,265,1675,10,56,34,0.05,1.53,246,2.6,66405.6,36,2,2,34,0,64.99,373,285,0,1,113.46,0,0.0,0.46,6,0,5,7806.55,0,0,0,0.0,0,0,52,0,0,34,0,155,1606,1,True
86,42,32,4,9,7,35,166,10,56,5,0.06,1.8,37,0.35,9478.57,9,4,1,5,1,81.31,32,40,1,1,113.53,0,0.0,0.3,0,14,5,1060.15,0,0,0,0.0,0,0,9,0,0,5,0,12,240,1,False
49,21,18,0,5,5,23,91,10,56,2,1.33,1.0,17,0.16,2916.47,5,3,0,2,0,62.4,18,20,0,1,112.4,0,0.0,1.0,0,2,1,482.15,0,0,0,0.0,0,0,2,0,0,2,1,8,113,1,False
66,31,28,0,5,10,30,132,10,56,2,1.71,1.0,27,0.27,5131.99,9,7,0,2,0,92.24,30,30,0,1,102.6,0,0.0,1.0,0,2,1,803.49,0,0,0,0.0,0,0,2,0,0,2,0,13,182,1,False
27,4,3,0,3,0,20,99,10,56,1,0.0,1.0,2,0.01,54.79,1,0,0,1,0,97.6,10,3,0,1,146.08,0,0.0,0.0,0,1,1,36.53,0,0,0,0.0,0,0,1,0,0,1,0,2,13,1,False
145,62,49,1,14,13,69,324,10,56,11,0.08,1.09,51,0.48,12595.7,20,9,0,11,0,92.21,72,61,0,1,124.43,0,0.0,0.18,0,20,2,1444.73,0,0,0,0.0,0,0,12,0,0,11,1,25,318,1,False
163,75,56,8,18,3,70,184,10,56,38,0.05,3.11,437,6.92,401792.0,49,11,11,38,2,52.1,325,505,2,1,100.2,4,0.17,0.04,26,422,14,20765.7,1,14,0,0.0,0,1,118,4,0,24,1,117,3726,2,False
